stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id
ASPO310,"","viale aldo moro lato case popolari","","40.946850001767","9.4980400000122",""
ASPO311,"","viale aldo moro fronte civico 417","","40.948990001768","9.4982800000122",""
ASPO312,"","viale aldo moro fronte via bonn","","40.951940001768","9.4983400000122",""
ASPO313,"","viale aldo moro lato via cairo","","40.954270001769","9.4967300000122",""
ASPO314,"","viale aldo moro fronte civico 511","","40.959870001769","9.4935900000121",""
ASPO315,"","viale basa centro commerciale","","40.960960001769","9.4914600000121",""
ASPO316,"","viale basa (eurospin)","","40.960310001768","9.488860000012",""
ASPO317,"","viale basa (piscina)","","40.959070001768","9.4846300000119",""
ASPO321,"","via gramsci civico 14","","40.933660001765","9.4982100000122",""
ASPO322,"","via sangallo civico 18","","40.933570001765","9.4964700000121",""
ASPO323,"","via sangallo civico 34","","40.934890001765","9.4961400000121",""
ASPO324,"","via sangallo civico 52","","40.937280001765","9.4954500000121",""
ASPO325,"","via bonn","","40.951950001768","9.4974000000122",""
ASPO326,"","via bonn civico 28","","40.952030001768","9.4954300000121",""
ASPO330,"","via leonardo da vinci","","40.931430001765","9.4991200000122",""
ASPO351,"","viale aldo moro civico 47 ospedale","","40.930940001765","9.5002400000122",""
ASPO352,"","viale aldo moro civico 87 (cherchi)","","40.932260001765","9.4993100000122",""
ASPO353,"","viale aldo moro civico 137 via longhena","","40.934500001765","9.4986900000122",""
ASPO354,"","viale aldo moro civico 181","","40.936330001766","9.4982000000122",""
ASPO355,"","viale aldo moro civico 227","","40.937800001766","9.4979300000122",""
ASPO356,"","viale aldo moro civico 245","","40.939240001766","9.4980300000122",""
ASPO357,"","viale aldo moro fronte civico 252","","40.941370001767","9.4984300000122",""
ASPO358,"","viale aldo moro civico 341 (romagnolo)","","40.942990001767","9.4983800000122",""
ASPO359,"","viale aldo moro fronte agip","","40.944740001767","9.4981900000122",""
ASPO360,"","viale aldo moro fronte case popolari","","40.947060001767","9.4979200000122",""
ASPO361,"","viale aldo moro civico 409","","40.948920001768","9.4982100000122",""
ASPO362,"","viale aldo moro sa minda noa","","40.951570001768","9.4982800000122",""
ASPO363,"","viale aldo moro fronte via cairo","","40.954420001769","9.4965400000122",""
ASPO364,"","viale aldo moro civico 511","","40.959480001769","9.4936300000121",""
ASPO366,"","viale basa fronte eurospin","","40.960240001768","9.488900000012",""
ASPO371,"","via de simone civico 13","","40.933190001765","9.4982600000122",""
ASPO372,"","via sangallo civico 25","","40.933580001765","9.4964400000121",""
ASPO373,"","via sangallo civico 57","","40.935000001765","9.4960800000121",""
ASPO374,"","via sangallo civico 93","","40.937280001765","9.4954100000121",""
ASPO375,"","via bonn","","40.951860001768","9.4975700000122",""
ASPO376,"","via bruxelles","","40.951630001768","9.4959400000121",""
ASPO377,"","via londra","","40.949830001768","9.4952000000121",""
ASPO378,"","via della piazza","","40.950180001767","9.4933700000121",""
ASPO391,"","basa","","40.960920001769","9.4916400000121",""
ASPO392,"","capolinea via belgrado sa minda noa","","40.951730001768","9.4935000000121",""
ASPO401,"","ss 125 via li punttiti","","40.971660001771","9.4908100000121",""
ASPO402,"","sp 73 lato agriturismo","","40.979140002323","9.4925800000162",""
ASPO403,"","sp 73 lato rivendita legnami","","40.981490001774","9.4978000000122",""
ASPO404,"","sp 73 lato vivaio","","40.987070001775","9.5002700000123",""
ASPO405,"","sp 99 viale rudalza prima del bivio sp 7","","40.991220001776","9.5020100000124",""
ASPO406,"","sp 99 viale rudalza lato via pazzolu","","40.995050001779","9.5152600000127",""
ASPO407,"","sp 99 viale rudalza fronte ristorante","","40.99684000178","9.5217700000129",""
ASPO408,"","sp 99 viale rudalza fronte distributore","","40.998980001782","9.5291600000131",""
ASPO409,"","via monte ladu fronte edicola","","41.000160001783","9.5327700000132",""
ASPO410,"","via monte ladu lato ristorante","","41.006770001784","9.5315100000132",""
ASPO411,"","via monte ladu lato via iscia piumica","","41.010600001785","9.5321600000132",""
ASPO412,"","via monte ladu fronte via stazzu bide","","41.012870001786","9.5355500000133",""
ASPO413,"","via monte ladu lato i valentini","","41.016840001787","9.5392800000134",""
ASPO414,"","via monte ladu fronte residence m.maiore","","41.018810001788","9.5413000000135",""
ASPO415,"","via porto rotondo carabinieri","","41.02414000179","9.5433900000135",""
ASPO416,"","via porto rotondo piazza quadra","","41.025880001791","9.5466900000136",""
ASPO451,"","ss 125 ex deposito safa","","40.971240001771","9.4910300000121",""
ASPO452,"","sp 73 fronte agriturismo","","40.979020001772","9.4925700000121",""
ASPO453,"","sp 73 lato tecnoverde","","40.981920001774","9.4985200000123",""
ASPO454,"","sp 73 fronte vivaio","","40.986440001775","9.5003600000123",""
ASPO455,"","sp 99 viale rudalza dopo bivio sp 73","","40.991130001776","9.5020300000124",""
ASPO456,"","sp 99 viale rudalza fronte via pazzolu","","40.995090001779","9.5156400000127",""
ASPO457,"","sp 99 viale rudalza lato ristorante","","40.99677000178","9.5220600000129",""
ASPO458,"","sp 99 viale rudalza lato distributore q8","","40.998920001782","9.5292200000131",""
ASPO459,"","via monte ladu lato edicola","","41.000670001783","9.5329600000132",""
ASPO460,"","via monte ladu fronte ristorante","","41.006700001784","9.5317600000132",""
ASPO461,"","via monte ladu fronte via iscia piumica","","41.010870001785","9.5327900000132",""
ASPO462,"","via monte ladu lato via stazzu bide","","41.012970001786","9.5357700000133",""
ASPO463,"","via monte ladu fronte i valentini","","41.017040001787","9.5395500000134",""
ASPO464,"","via monte ladu lato residence m.maiore","","41.019240001788","9.5420400000135",""
ASPO465,"","via porto rotondo farmacia","","41.02410000179","9.5436800000135",""
ASPO466,"","via porto rotondo tartarughino","","41.025940001791","9.5469600000136",""
ASPO491,"","capolinea porto rotondo piazzale tennis","","41.027620001791","9.5486900000137",""
ASPO501,"","via galvani civico 12a","","40.929570001765","9.5007500000122",""
ASPO502,"","via galvani civico 78","","40.929740001764","9.4972300000122",""
ASPO503,"","via galvani fronte fausto noce","","40.929430002307","9.4942200000161",""
ASPO504,"","via petta incrocio via piro","","40.928880001763","9.490920000012",""
ASPO505,"","via petta civico 60","","40.931010001763","9.4881400000119",""
ASPO506,"","via bini","","40.932660001763","9.4876600000119",""
ASPO511,"","via euclide fronte civico 12","","40.931050002307","9.4966400000162",""
ASPO512,"","via veronese civico 48 (via gramsci)","","40.933130001764","9.4937700000121",""
ASPO513,"","via veronese civico 72","","40.935320001765","9.492180000012",""
ASPO514,"","via veronese civico 100 (via vignola)","","40.937230001765","9.492350000012",""
ASPO515,"","via veronese civico 138","","40.940980001765","9.490890000012",""
ASPO516,"","via veronese civico 170 via dei pini","","40.943150001766","9.489010000012",""
ASPO517,"","via veronese (fronte via dei fiori)","","40.944880001766","9.4878700000119",""
ASPO518,"","via plebi fronte via abba fritta","","40.961870001767","9.4770100000117",""
ASPO519,"","via plebi lato via santa lucia","","40.966880001768","9.4772900000117",""
ASPO520,"","via plebi ex capolinea santa lucia","","40.972590001769","9.4768400000117",""
ASPO521,"","via san vittore fronte via chidonza","","40.959930001766","9.4686500000115",""
ASPO522,"","via san vittore 2a fermata","","40.963990002314","9.4621400000152",""
ASPO523,"","via san vittore fronte int viale alessa","","40.962509694111","9.4551287426128",""
ASPO524,"","via san vittore 4a fermata","","40.958260001764","9.450750000011",""
ASPO525,"","via san vittore lato via pulpugia","","40.953050001762","9.448850000011",""
ASPO526,"","via san vittore fronte via tanca uppalza","","40.952780001766","9.4821400000118",""
ASPO530,"","via plebi dopo via s. lucia","","40.969920001769","9.4778200000117",""
ASPO551,"","via galvani fronte civico 14","","40.929500001765","9.5004600000122",""
ASPO552,"","via galvani fronte civico 78","","40.929650001764","9.4973800000121",""
ASPO553,"","via galvani lato fausto noce","","40.929230002306","9.4940700000161",""
ASPO554,"","via petta croce bianca","","40.928830001763","9.489910000012",""
ASPO555,"","via petta fronte civico 60","","40.930900001763","9.4881200000119",""
ASPO562,"","via veronese fronte civico 48","","40.933050001764","9.4937500000121",""
ASPO563,"","via veronese fronte civico 72","","40.935040001764","9.492060000012",""
ASPO564,"","via veronese fronte civico 100 (scuole)","","40.937220001765","9.492300000012",""
ASPO565,"","via veronese fronte civico 138","","40.940800001765","9.491040000012",""
ASPO566,"","via veronese fronte civico 170","","40.943600001766","9.488720000012",""
ASPO567,"","via veronese lato via dei fiori","","40.944870001766","9.4877600000119",""
ASPO568,"","via plebi lato via abba fritta","","40.961890001767","9.4769600000117",""
ASPO569,"","via plebi fronte via santa lucia","","40.966610001768","9.4771700000117",""
ASPO571,"","via san vittore lato via chidonza","","40.959840001766","9.4685700000115",""
ASPO572,"","via san vittore 2a fermata","","40.963770002314","9.4623000000151",""
ASPO573,"","via san vittore lato viale alessandro","","40.962348768817","9.4553003102138",""
ASPO574,"","via san vittore 4a fermata","","40.958270001764","9.450860000011",""
ASPO575,"","via san vittore fronte via pulpugia","","40.953100002309","9.4490100000147",""
ASPO576,"","via san vittore int. via tanca uppalza","","40.952870001766","9.4820000000118",""
ASPO580,"","via plebi prima di via s. lucia","","40.969860001769","9.4777900000117",""
ASPO591,"","capolinea san nicola","","40.932020001763","9.4859700000119",""
ASPO592,"","capolinea san vittore","","40.948190001762","9.449610000011",""
ASPO601,"","via brigata sassari","","40.924560001763","9.493230000012",""
ASPO602,"","via barcellona angolo via rossini","","40.925040001762","9.490520000012",""
ASPO605,"","via barcellona angolo via porpora","","40.925800001762","9.4877400000119",""
