trip_id,route_id,service_id,trip_headsign,direction_id
1313,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1314,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1315,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1316,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1317,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1318,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1319,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1320,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1321,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1322,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1323,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1324,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1325,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1326,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1327,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1328,ΠΕΙΡΠΚΙΑ,A,Κιάτο,0
1329,ΠΚΙΑΠΕΙΡ,A,Πειραιάς,1
1330,ΔΙΑΚΚΑΛΒ,A,Καλάβρυτα,0
13300,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
13301,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
13302,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
13303,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
13304,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
13305,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
13306,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
13307,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
13308,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
13309,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
1331,ΚΑΛΒΔΙΑΚ,A,Διακοφτό,1
1332,ΔΙΑΚΚΑΛΒ,A,Καλάβρυτα,0
1333,ΚΑΛΒΔΙΑΚ,A,Διακοφτό,1
1336,ΔΙΑΚΚΑΛΒ,A,Καλάβρυτα,0
1337,ΚΑΛΒΔΙΑΚ,A,Διακοφτό,1
1380,ΠΥΡΓΟΛΥΜ,A,Ολυμπία,0
1381,ΟΛΥΜΚΑΤΑ,A,Κατάκωλο,1
1382,ΚΑΤΑΟΛΥΜ,A,Ολυμπία,0
1383,ΟΛΥΜΠΥΡΓ,A,Πύργος Ηλείας,1
1384,ΠΥΡΓΟΛΥΜ,A,Ολυμπία,0
1385,ΟΛΥΜΠΥΡΓ,A,Πύργος Ηλείας,1
14300,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
14301,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
14302,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
14303,ΑΝΕΔΑΒΑΣ,A,Άγιος Βασίλειος,1
14304,ΠΑΤΡΑΝΕΔ,A,Αγ. Ανδρέας,0
1510,ΑΘΗΝΛΕΙΑ,A,Λειανοκλάδι,0
1511,ΛΕΙΑΑΘΗΝ,A,Αθήνα,1
1530,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1532,ΑΘΗΝΧΑΛΚ,B,Χαλκίδα,0
1533,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1534,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1535,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1537,ΧΑΛΚΑΘΗΝ,B,Αθήνα,1
1538,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1539,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1542,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1543,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1546,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1547,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1550,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1551,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1552,ΑΘΗΝΧΑΛΚ,B,Χαλκίδα,0
1554,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1555,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1557,ΧΑΛΚΑΘΗΝ,B,Αθήνα,1
1558,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
1559,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
1570,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
1571,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
1572,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
1573,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
1574,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
1575,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
1576,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
1577,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
1578,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
1579,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
1590,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
1591,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
1592,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
1593,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
1594,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
1595,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
1596,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
1599,ΘΕΣΣΠΑΛΦ,A,Παλαιοφάρσαλος,1
1680,ΑΛΕΛΟΡΜΕ_,A,Ορμενιο,0
1681,ΟΡΜΕΑΛΕΛ_,A,Αλεξανδρούπολη Λιμάνι,1
1682,ΑΛΕΛΔΚΑΙ,A,Δίκαια,0
1683,ΔΚΑΙΑΛΕΛ,A,Αλεξανδρούπολη Λιμάνι,1
1684,ΑΛΕΛΔΚΑΙ_,A,Δίκαια,0
1685,ΔΚΑΙΑΛΕΛ_,A,Αλεξανδρούπολη Λιμάνι,1
1686,ΔΚΑΙΟΡΜΕ_,A,Ορμενιο,0
1687,ΟΡΜΕΔΚΑΙ_,A,Δίκαια,1
2202,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2203,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2206,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2207,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2210,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2211,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2214,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2215,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2218,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2219,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2222,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2223,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2226,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2227,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2230,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2231,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2234,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2235,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2238,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2239,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2242,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2243,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2246,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2247,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2250,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2251,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2254,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2255,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2258,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2259,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2262,ΠΑΝΛΠΑΕΡ,A,Αεροδρόμιο,0
2263,ΠΑΕΡΠΑΝΛ,A,Άνω Λιόσια,1
2300,ΑΘΗΝΠΚΙΑ,A,Κιάτο,0
2301,ΠΚΙΑΑΘΗΝ,A,Αθήνα,1
2302,ΑΘΗΝΠΚΙΑ,A,Κιάτο,0
2303,ΠΚΙΑΑΘΗΝ,A,Αθήνα,1
2304,ΑΘΗΝΠΚΙΑ,A,Κιάτο,0
2305,ΠΚΙΑΑΘΗΝ,A,Αθήνα,1
2532,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
2533,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
2534,ΑΘΗΝΧΑΛΚ,A,Χαλκίδα,0
2537,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
2539,ΧΑΛΚΑΘΗΝ,A,Αθήνα,1
2570,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
2571,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
2572,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
2573,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
2574,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
2575,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
2576,ΛΑΡΙΒΟΛΟ,A,Βόλος,0
2577,ΒΟΛΟΛΑΡΙ,A,Λάρισα,1
2590,ΠΑΛΦΘΕΣΣ,A,Θεσσαλονίκη,0
2591,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
2592,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
2593,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
2594,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
2597,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
2598,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
2599,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
3334,ΔΙΑΚΚΑΛΒ,C,Καλάβρυτα,0
3335,ΚΑΛΒΔΙΑΚ,C,Διακοφτό,1
3338,ΔΙΑΚΚΑΛΒ,C,Καλάβρυτα,0
3339,ΚΑΛΒΔΙΑΚ,C,Διακοφτό,1
3520,ΑΘΗΝΛΕΙΑ,D,Λειανοκλάδι,0
3521,ΛΕΙΑΑΘΗΝ,D,Αθήνα,1
3590,ΛΑΡΙΘΕΣΣ,A,Θεσσαλονίκη,0
3593,ΘΕΣΣΛΑΡΙ,A,Λάρισα,1
360,ΘΕΣΣΣΟΦΙ_,A,Σόφια,0
361,ΣΟΦΙΘΕΣΣ_,A,Θεσσαλονίκη,1
3744,ΕΔΕΣΘΕΣΣ,A,Θεσσαλονίκη,0
3800,ΑΝΛΕΜΗΛΕ,C,Μηλιές,0
3801,ΜΗΛΕΑΝΛΕ,C,Άνω Λεχώνια,1
4522,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
4523,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
4524,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
4525,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
4526,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
4527,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
4528,ΛΕΙΑΛΑΜΙ_,A,Λαμία,0
4529,ΛΑΜΙΛΕΙΑ_,A,Λειανοκλάδι,1
50,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
51,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
52,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
53,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
55,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
5522,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
5523,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
5524,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
5525,ΣΤΥΛΛΕΙΑ_,A,Λειανοκλάδι,1
5526,ΛΕΙΑΣΤΥΛ_,A,Στυλίδα,0
5527,ΛΑΜΙΛΕΙΑ_,A,Λειανοκλάδι,1
5528,ΛΕΙΑΛΑΜΙ_,A,Λαμία,0
5529,ΛΑΜΙΛΕΙΑ_,A,Λειανοκλάδι,1
56,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
561,ΠΑΛΦΚΑΛΑ,A,Καλαμπάκα,1
562,ΠΑΛΦΛΑΡΙ,A,Λάρισα,0
58,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
59,ΘΕΣΣΑΘΗΝ,A,Αθήνα,1
590,ΚΑΛΑΘΕΣΣ,A,Θεσσαλονίκη,0
591,ΘΕΣΣΚΑΛΑ,A,Καλαμπάκα,1
60,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
600,ΑΘΗΝΘΕΣΣ,A,Θεσσαλονίκη,0
600Α,ΘΕΣΣΑΛΕΛ,A,Αλεξανδρούπολη Λιμάνι,0
