stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
"246",,"Marijane Radev",,45.793113,15.902372,,,0,
"247",,"Mašićeva",,45.816436,16.003448,,,0,
"248",,"Miramarska",,45.799760,15.975292,,,0,
"249",,"Munja",,45.792803,16.038356,,,0,
"250",,"Nehajska",,45.798447,15.948232,,,0,
"251",,"Olibska",,45.800967,15.999838,,,0,
"253",,"Petrova",,45.817504,15.997118,,,0,
"254",,"Petrova",,45.813763,15.991629,,,0,
"255",,"Petrovaradinska",,45.792376,15.906921,,,0,
"256",,"Poljanice IV",,45.828331,16.072994,,,0,
"259",,"Prečko",,45.794226,15.893441,,,0,
"262",,"Prisavlje",,45.790891,15.956569,,,0,
"263",,"Radnička",,45.801422,16.004607,,,0,
"264",,"Ravnice",,45.822164,16.028185,,,0,
"265",,"Rudeška",,45.791602,15.914679,,,0,
"266",,"Savišće",,45.789193,16.034803,,,0,
"268",,"Savski gaj",,45.777052,15.961310,,,0,
"269",,"Savski gaj",,45.777096,15.956763,,,0,
"271",,"Savski most",,45.785207,15.953140,,,0,
"272",,"Savski most",,45.785588,15.952926,,,0,
"274",,"Selska-Ozaljska",,45.798028,15.943355,,,0,
"275",,"Selska",,45.797679,15.944011,,,0,
"277",,"Muzej suv.umjetnosti",,45.777272,15.981417,,,0,
"278",,"Muzej suv.umjetnosti",,45.777415,15.980748,,,0,
"281",,"Slavenskog",,45.794278,15.898965,,,0,
"282",,"Srednjaci",,45.788091,15.937396,,,0,
"283",,"Staglišće",,45.787818,15.930054,,,0,
"284",,"Strojarska",,45.800709,15.989532,,,0,
"286",,"St.dom Stjepan Radić",,45.786388,15.950760,,,0,
"287",,"St. dom S. Radić",,45.786418,15.952170,,,0,
"288",,"Studentski centar",,45.802728,15.964551,,,0,
"290",,"Svetice",,45.818521,16.012979,,,0,
"291",,"Svetice",,45.815345,16.013277,,,0,
"292",,"Šulekova",,45.813248,16.004694,,,0,
"293",,"Talovčeva",,45.809666,15.957094,,,0,
"294",,"Tehnički muzej",,45.803297,15.964247,,,0,
"295",,"Trešnjevački trg",,45.799792,15.954299,,,0,
"296",,"Trg hr. velikana",,45.811668,15.984472,,,0,
"297",,"Trg P. Krešimira",,45.807870,15.991697,,,0,
"298",,"Rooseveltov trg",,45.809096,15.968741,,,0,
"299",,"Trg žrt. fašizma",,45.809650,15.988164,,,0,
"301",,"Trnsko",,45.777041,15.964325,,,0,
"302",,"Trnsko",,45.777075,15.965189,,,0,
"303",,"Tržnica Kvatrić",,45.812820,15.995819,,,0,
"304",,"Tuškanova",,45.811021,15.997660,,,0,
"305",,"Učit. fakultet",,45.796877,15.960614,,,0,
"307",,"Velesajam",,45.777180,15.972947,,,0,
"308",,"Velesajam",,45.777251,15.971444,,,0,
"309",,"Veslačka",,45.788645,15.954993,,,0,
"310",,"Vjesnik",,45.794042,15.958737,,,0,
"311",,"Vončinina",,45.813797,15.986709,,,0,
"312",,"Vrbik",,45.799700,15.967661,,,0,
"313",,"Zg. transporti",,45.790977,16.036917,,,0,
"314",,"Zagrepčanka",,45.799242,15.962926,,,0,
"316",,"Zapadni kolodvor",,45.809494,15.953928,,,0,
"317",,"Zapadni kolodvor",,45.809613,15.955034,,,0,
"319",,"Varaždinska-Selčina",,45.830958,16.116875,,,0,
"320",,"Popovec-gostiona",,45.844547,16.132891,,,0,
"321",,"Vugrovečka",,45.849747,16.139725,,,0,
"322",,"Soblinec",,45.857498,16.147798,,,0,
"323",,"Soblinec-rask.-škola",,45.863994,16.153886,,,0,
"324",,"Žerjavinec",,45.870843,16.160423,,,0,
"325",,"Belovar",,45.881689,16.173448,,,0,
"326",,"Mokrička",,45.886294,16.174806,,,0,
"327",,"Adamovec-Šoštarići",,45.894536,16.168799,,,0,
"328",,"Antolkovići",,45.898105,16.166043,,,0,
"329",,"Adamovec-centar",,45.904451,16.163379,,,0,
"330",,"Beštaki",,45.905567,16.158355,,,0,
"331",,"Jesenovec-Balšićeva",,45.907764,16.156472,,,0,
"332",,"Jesenovečka 29",,45.914221,16.152051,,,0,
"333",,"Jesenovec-okretište",,45.917533,16.145721,,,0,
"334",,"Put za Moravče",,45.909032,16.164689,,,0,
"335",,"Zenki",,45.915959,16.159793,,,0,
"336",,"Pilati",,45.922484,16.155372,,,0,
"337",,"Lozaki",,45.927896,16.152213,,,0,
"338",,"Čergari",,45.934988,16.149253,,,0,
"339",,"Glavnica Donja okr.",,45.937863,16.143688,,,0,
"340",,"Filipčići",,45.912255,16.167862,,,0,
"341",,"Bastalićeva II.",,45.919004,16.169915,,,0,
"342",,"Prajzov brijeg",,45.923812,16.170743,,,0,
"343",,"Bahlenova",,45.929663,16.170352,,,0,
"344",,"Moravče-Benkova",,45.936547,16.167689,,,0,
"345",,"Ninska",,45.826577,16.110878,,,0,
"346",,"Sesvete-izlaz",,45.825442,16.109511,,,0,
"347",,"Obrež",,45.871960,16.145255,,,0,
"348",,"Vojnovićeva",,45.877020,16.141450,,,0,
"349",,"Gajci-Lovre Sedinića",,45.884457,16.137795,,,0,
"350",,"Vurnovec-B.B.-Kusova",,45.888613,16.136553,,,0,
"351",,"Prepuštovec-Vurnovec",,45.891517,16.133819,,,0,
"352",,"Škanići",,45.897239,16.133786,,,0,
"353",,"Prepuštovec-izletišt",,45.901075,16.132379,,,0,
"354",,"Put za Kašinu",,45.903982,16.131057,,,0,
"355",,"Frljur-Blaguška",,45.908727,16.131234,,,0,
"356",,"Pustički",,45.911649,16.133126,,,0,
"357",,"Blaguša 12",,45.920315,16.131742,,,0,
"358",,"Blaguša-kapela",,45.924184,16.131096,,,0,
"359",,"Blaguša - centar",,45.929643,16.130349,,,0,
"360",,"Ulica Kaktusa",,45.826245,16.085789,,,0,
"361",,"Zagrebačka 103",,45.826167,16.089982,,,0,
"362",,"Brestovečka",,45.827589,16.097878,,,0,
"363",,"Anke Krizmanić",,45.829781,16.096999,,,0,
"365",,"Brestovečka 100",,45.836750,16.089756,,,0,
"366",,"Brestovečka 128",,45.839193,16.088956,,,0,
"368",,"Lužan",,45.888853,16.188310,,,0,
"369",,"Grgati 8",,45.890121,16.193131,,,0,
"370",,"Lužan-Zeleni vijenac",,45.885713,16.196382,,,0,
"371",,"Kašinska-rasadnik",,45.841904,16.109100,,,0,
"372",,"Vugrovečka 21",,45.848498,16.110570,,,0,
"373",,"Vugrovečka 42",,45.851517,16.111626,,,0,
"374",,"Vugrovečka 70",,45.854855,16.112701,,,0,
"375",,"Aleja mira",,45.862120,16.115920,,,0,
"376",,"Mark.polje-raskrižje",,45.870372,16.113348,,,0,
"377",,"Škola Vugrovec",,45.876909,16.111469,,,0,
"378",,"Vugrovec kod crkve",,45.881415,16.108784,,,0,
"379",,"Vugrovec D.-groblje",,45.884634,16.106281,,,0,
"380",,"Vugrovečka-Grljakova",,45.891244,16.101034,,,0,
"381",,"Gornji Vugrovec 58",,45.892418,16.095374,,,0,
"382",,"Židaki",,45.893558,16.089675,,,0,
"383",,"Rožići",,45.895337,16.085079,,,0,
"384",,"Goranec",,45.897186,16.078625,,,0,
"385",,"Bistrička - O.Š.",,45.830495,16.106914,,,0,
"386",,"Pantovčak 56",,45.817048,15.961030,,,0,
"387",,"Pantovčak 82",,45.819499,15.960527,,,0,
"388",,"Pantovčak 102",,45.822242,15.960050,,,0,
"389",,"Pantovčak 128",,45.824842,15.961124,,,0,
"390",,"Pantovčak 156",,45.828153,15.961365,,,0,
"391",,"Pantovčak 180",,45.832320,15.962174,,,0,
"392",,"Zelengaj",,45.835455,15.962465,,,0,
"393",,"Predsjednički dvori",,45.837525,15.961741,,,0,
"394",,"Pantovčak 241",,45.840432,15.959321,,,0,
"395",,"Pantovčak",,45.845658,15.958184,,,0,
"396",,"Nazorova 26",,45.815867,15.967106,,,0,
"397",,"Nazorova 54",,45.817731,15.966666,,,0,
"398",,"Tuškanac",,45.821223,15.969170,,,0,
"399",,"Paunovac",,45.824957,15.970623,,,0,
"400",,"Vijenac",,45.828672,15.972176,,,0,
"401",,"Tuškanac 78",,45.830943,15.971179,,,0,
"402",,"Cmrok",,45.835443,15.971193,,,0,
"403",,"Gornje Prekrižje 40",,45.840047,15.968998,,,0,
"404",,"Gornje Prekrižje 55",,45.843868,15.966135,,,0,
"405",,"Donje Prekrižje",,45.843021,15.962766,,,0,
"406",,"Šestinski vrh",,45.846833,15.955494,,,0,
"407",,"Šestinski vijenac 48",,45.848864,15.953574,,,0,
"408",,"Šestine-centar",,45.852197,15.950208,,,0,
"409",,"Potočani",,45.855026,15.954891,,,0,
"410",,"Mlinovi 149",,45.851501,15.959115,,,0,
"411",,"Mlinovi 124",,45.850252,15.960288,,,0,
"412",,"Mlinovi",,45.847000,15.965707,,,0,
"413",,"Mlinovi 23",,45.844544,15.971470,,,0,
"414",,"Bolnica Goljak",,45.818444,15.963915,,,0,
"415",,"Zelengaj 25",,45.821035,15.965494,,,0,
"416",,"II. Kraljevec",,45.826664,15.968360,,,0,
"417",,"Kraljevec",,45.830592,15.968771,,,0,
"418",,"Jandrićeva",,45.836955,15.976726,,,0,
"419",,"Dom umirovljenika",,45.841659,15.971686,,,0,
"420",,"Kaptol",,45.815431,15.978513,,,0,
"421",,"Nova ves 16",,45.820270,15.978057,,,0,
"422",,"Znikina",,45.824382,15.977617,,,0,
"423",,"Medvedgradska-škola",,45.827655,15.978328,,,0,
"424",,"Mlinarska",,45.822338,15.975564,,,0,
"425",,"Ilirski trg",,45.819274,15.975223,,,0,
"426",,"Becićeve stube",,45.827067,15.975642,,,0,
"427",,"Jurjevska 64",,45.830658,15.975411,,,0,
"428",,"Jurjevska 77",,45.832615,15.975368,,,0,
"429",,"KAPTOL CENTAR",,45.820333,15.976493,,,0,
"430",,"Medveščak",,45.819010,15.979590,,,0,
"431",,"Rockefellerova",,45.823106,15.981901,,,0,
"432",,"Bijenička",,45.825007,15.984907,,,0,
"433",,"Inst. R.Bošković",,45.828995,15.985594,,,0,
"434",,"Mirogoj-Arkade",,45.832223,15.984145,,,0,
"435",,"Mirogoj",,45.835294,15.983837,,,0,
"436",,"Remetska 19",,45.838447,15.982489,,,0,
"437",,"Krematorij",,45.845302,15.981908,,,0,
"438",,"RT Jankomir",,45.798831,15.875000,,,0,
"439",,"Savska Opatovina",,45.797236,15.888171,,,0,
"440",,"Špansko",,45.796959,15.893454,,,0,
"441",,"Slavenskog",,45.796780,15.901286,,,0,
"442",,"Zagrebačka",,45.795989,15.909720,,,0,
"443",,"Rudeška",,45.795260,15.920735,,,0,
"444",,"Hrvatskog sokola",,45.794903,15.923947,,,0,
"445",,"Dragutina Golika",,45.793493,15.932148,,,0,
"446",,"Fallerovo",,45.793709,15.938105,,,0,
"447",,"Nehajska",,45.794047,15.950327,,,0,
"448",,"Savska",,45.794026,15.960423,,,0,
"449",,"Vrbik",,45.794051,15.969763,,,0,
"450",,"N.S.knjižnica",,45.794524,15.980453,,,0,
"451",,"Kruge",,45.795080,15.992043,,,0,
"452",,"Rakušina",,45.796069,16.006766,,,0,
"453",,"Radnička",,45.796523,16.020037,,,0,
"454",,"Končar",,45.797045,16.023855,,,0,
"455",,"Čavićeva",,45.796976,16.028761,,,0,
"457",,"Kozari Bok",,45.798321,16.044649,,,0,
"458",,"Zelena tržnica",,45.800447,16.049914,,,0,
"459",,"RTerminali Žitnjak",,45.800534,16.057542,,,0,
"460",,"Ciglanska",,45.814474,15.927283,,,0,
"461",,"Graberje",,45.817729,15.926626,,,0,
"462",,"Graberje 48",,45.819705,15.922942,,,0,
"463",,"Kotoripska",,45.822635,15.917946,,,0,
"464",,"Millerova",,45.824803,15.916741,,,0,
"465",,"Graberje-okretište",,45.826791,15.914243,,,0,
"467",,"Kustošijanska",,45.813696,15.929112,,,0,
"468",,"MUP",,45.812105,15.921816,,,0,
"469",,"Samoborska-Škorp.",,45.812078,15.861205,,,0,
"470",,"Samoborska-Goljak",,45.814070,15.852584,,,0,
"471",,"ZET",,45.814504,15.846819,,,0,
"472",,"Podsused - most",,45.815094,15.836627,,,0,
"473",,"Medpotoki",,45.813363,15.878456,,,0,
"474",,"Huzjanova",,45.815191,15.863811,,,0,
"475",,"Bolnica Vrapče",,45.815015,15.895295,,,0,
"476",,"Dudovec",,45.816814,15.890440,,,0,
"477",,"Bolnička-Gospodska",,45.818013,15.885889,,,0,
"478",,"Medpotoki",,45.819000,15.881125,,,0,
"479",,"Karažnik-Čileanska",,45.819300,15.875410,,,0,
