trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1367404_b_29741_tn_11,12:39:00,12:39:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:41:00,12:41:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:42:00,12:42:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:45:00,12:45:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:48:00,12:48:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:51:00,12:51:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:53:00,12:53:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_11,12:54:00,12:54:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,12:54:00,12:54:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,12:55:00,12:55:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,12:58:00,12:58:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:00:00,13:00:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:02:00,13:02:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:04:00,13:04:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
