trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_dropoff_window,end_pickup_dropoff_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1367404_b_29741_tn_12,13:06:00,13:06:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:08:00,13:08:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:12:00,13:12:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:14:00,13:14:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:15:00,13:15:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:18:00,13:18:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:21:00,13:21:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:24:00,13:24:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:26:00,13:26:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_12,13:27:00,13:27:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:27:00,13:27:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:28:00,13:28:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:31:00,13:31:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:33:00,13:33:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:35:00,13:35:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:37:00,13:37:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:39:00,13:39:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:41:00,13:41:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:45:00,13:45:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:47:00,13:47:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:48:00,13:48:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:51:00,13:51:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:54:00,13:54:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:57:00,13:57:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,13:59:00,13:59:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_13,14:00:00,14:00:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:00:00,14:00:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:01:00,14:01:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:04:00,14:04:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:06:00,14:06:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:08:00,14:08:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:10:00,14:10:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:12:00,14:12:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:14:00,14:14:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:18:00,14:18:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:20:00,14:20:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:21:00,14:21:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:24:00,14:24:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:27:00,14:27:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:30:00,14:30:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:32:00,14:32:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_14,14:33:00,14:33:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:33:00,14:33:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:34:00,14:34:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:37:00,14:37:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:39:00,14:39:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:41:00,14:41:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:43:00,14:43:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:45:00,14:45:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:47:00,14:47:00,2574494,8,,0,0,2327.13178973831,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:51:00,14:51:00,2384136,9,,0,0,2868.35346122144,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:53:00,14:53:00,2384173,10,,0,0,3133.96448211657,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:54:00,14:54:00,2384134,11,,0,0,3372.52411482387,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,14:57:00,14:57:00,2574496,12,,0,0,3899.11722301853,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,15:00:00,15:00:00,2384175,13,,0,0,4176.42616748285,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,15:03:00,15:03:00,2384163,14,,0,0,4622.99695452091,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,15:05:00,15:05:00,2574450,15,,0,0,4893.24205415712,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_15,15:06:00,15:06:00,2384126,16,,0,0,5207.09384035,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:06:00,15:06:00,2384126,1,,0,0,0,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:07:00,15:07:00,2384166,2,,0,0,281.767775036468,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:10:00,15:10:00,2384154,3,,0,0,803.647509708825,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:12:00,15:12:00,2384155,4,,0,0,999.004133442488,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:14:00,15:14:00,2384168,5,,0,0,1146.77156137426,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:16:00,15:16:00,2384141,6,,0,0,1557.74491697073,0,,,,,1,1,,,,,,,,
t_1367404_b_29741_tn_16,15:18:00,15:18:00,2384122,7,,0,0,1948.61155177521,0,,,,,1,1,,,,,,,,
