stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
17891,17891,State Fair Blvd & Across from Best Western,,43.081515,-76.228235,,,,,,0
17892,17892,State Fair Blvd & Crucible,,43.072523,-76.211325,,,,,,0
17893,17893,7th North St & Douglas Ave,,43.091225,-76.169604,,,,,,0
17894,17894,Bear Rd & Charter Oaks Apts,,43.124725,-76.180154,,,,,,0
17895,17895,7848 Goguen Dr,,43.14957,-76.195664,,,,,,0
17896,17896,Bear Rd & Charter Oaks Apartments,,43.124672,-76.180104,,,,,,0
17897,17897,Route 11 & 3731 Route 11,,43.117522,-76.14456,,,,,,0
17900,17900,Route 11 & Onondaga Flight School Airport,,43.183215,-76.12228,,,,,,0
17901,17901,Route 11 & Kline Rd,,43.254711,-76.142177,,,,,,0
17908,17908,S Glencove Rd & Luddington St,,43.064107,-76.097477,,,,,,0
17909,17909,S Glencove Rd & Erickson St,,43.064159,-76.09639,,,,,,0
17910,17910,S Glencove Rd & Aberdeen Ter,,43.064185,-76.095341,,,,,,0
17911,17911,S Glencove Rd & N Glencove Rd,,43.064623,-76.094723,,,,,,0
17912,17912,Wegmans Rt 11 Main Entrance,,43.155535,-76.119611,,,,,,0
17913,17913,Providence House Front Entrance,,43.033801,-76.182857,,,,,,0
17914,17914,Malta House Apts,,43.137142,-76.127282,,,,,,0
17915,17915,Oak Creek Town Homes Bldg O,,42.919219,-76.56837,,,,,,0
17916,17916,Oak Creek Town Homes Rental Office,,42.918203,-76.570287,,,,,,0
17917,17917,Quill Ave & Southfield Apartments,,42.918067,-76.570989,,,,,,0
17918,17918,Oak Creek Town Homes Bldg O,,42.919175,-76.568247,,,,,,0
17919,17919,Stryker Homes,,42.931611,-76.563279,,,,,,0
17920,17920,Standart Woods Apt Bldg W,,42.947876,-76.551499,,,,,,0
17921,17921,Grant Ave & Drive to Walmart,,42.954731,-76.544135,,,,,,0
17922,17922,Lowe's Auburn,,42.954952,-76.545368,,,,,,0
17923,17923,N Levitt St & Windsor Apartments N,,43.226684,-75.470755,,,,,,0
17924,17924,N Levitt St & Windsor Apartments South,,43.225519,-75.472129,,,,,,0
17926,17926,N Levitt St & Windsor Apartments South,,43.225456,-75.472068,,,,,,0
17927,17927,N Levitt St & Windsor Apartments North,,43.226621,-75.470731,,,,,,0
17928,17928,Auburn Community Hospital,,42.940709,-76.56539,,,,,,0
17929,17929,Gavras Center,,42.943712,-76.566944,,,,,,0
17930,17930,Gavras Center,,42.943685,-76.56708,,,,,,0
17931,17931,Finger Lakes Center For Living,,42.942413,-76.563956,,,,,,0
17932,17932,Auburn Community Hospital,,42.940819,-76.564331,,,,,,0
17933,17933,Olympia Ave & Olympia Ter,,42.945569,-76.576244,,,,,,0
17934,17934,Brogan Manor Stop 1,,42.945286,-76.578288,,,,,,0
17935,17935,25 Grant St,25 GRANT ST,42.942999,-76.576613,,,,,,0
17936,17936,259 Seymour St,259 SEYMOUR ST,42.937341,-76.580529,,,,,,0
17938,17938,Country Max on Clark Street Rd,,42.929163,-76.606507,,,,,,0
17939,17939,250 Seymour St,250 SEYMOUR ST,42.937305,-76.58059,,,,,,0
17940,17940,W 3rd St & W Bridge St,,43.455773,-76.513285,,,,,,0
17941,17941,Rice Creek,,43.429976,-76.549382,,,,,,0
17942,17942,Tecumseh Road Senior Apartments,,43.028042,-76.110089,,,,,,0
17943,17943,Standart Wood Apts Bldg D,,42.94583,-76.553523,,,,,,0
17944,17944,Success Dr & 5836 Success Dr,,43.234427,-75.505736,,,,,,0
17945,17945,Success Dr & 5900 Success Dr,,43.233061,-75.503461,,,,,,0
17947,17947,Mohawk Acres Plaza South,,43.230589,-75.438181,,,,,,0
17948,17948,The Plaza at Black River South,,43.234799,-75.436832,,,,,,0
17949,17949,Gavras Center,,42.928631,-76.601281,,,,,,0
17950,17950,Crane Brook Dr & Johnson Dr,,42.928384,-76.603399,,,,,,0
17951,17951,Quiznos Fingerlakes Crossings,,42.92633,-76.608217,,,,,,0
17952,17952,Kohl's Fingerlakes Crossings,,42.92518,-76.609517,,,,,,0
17953,17953,Crane Brook Dr & Johnson Dr,,42.928276,-76.603435,,,,,,0
17954,17954,Gavras Center,,42.928515,-76.601231,,,,,,0
17962,17962,Maple St & Bunner St,MAPLE ST & BUNNER ST,43.451656,-76.487823,,,,,,0
17963,17963,East Ave & Walnut St,EAST AVE & WALNUT ST,43.452522,-76.489551,,,,,,0
17965,17965,S 11th St & Emery St,S 11TH ST & EMERY ST,43.325221,-76.398184,,,,,,0
17966,17966,346 S 12th St,S 12TH ST & EMERY ST,43.324445,-76.395791,,,,,,0
17967,17967,Price Chopper-Fulton,,43.323263,-76.424,,,,,,0
17968,17968,Oneida Hall & Onondaga Hall,ONEIDA HALL & ONONDAGA HALL,43.450453,-76.54982,,,,,,0
17969,17969,Resident 12 Parking Lot,COUNTY ROUTE 89 & COUNTY ROUTE 89,43.452499,-76.548364,,,,,,0
17972,17972,E 10th St & Rte 104,E 10TH ST & STATE ROUTE 104,43.460356,-76.497077,,,,,,0
17973,17973,Big Lots Oswego Plaza,,43.460226,-76.485134,,,,,,0
17974,17974,Big Lots Oswego Plaza,,43.460234,-76.485171,,,,,,0
17978,17978,Route 31 & Willow Stream,STATE ROUTE 31 & MARCH RD,43.18306,-76.251798,,,,,,0
17979,17979,Route 31 & Willow Stream,STATE ROUTE 31 & MARCH RD,43.18314,-76.251712,,,,,,0
17980,17980,Towne Center Park-N-Ride,,43.02994,-76.019618,,,,,,0
17981,17981,Williams Trailer Park,STATE ROUTE 104,43.474426,-76.375181,,,,,,0
17982,17982,Williams Trailer Park,STATE ROUTE 104 & UNNAMED STREET,43.474605,-76.374809,,,,,,0
17983,17983,4789 State Route 3,4789 STATE ROUTE 3,43.405895,-76.252806,,,,,,0
